Null, to shout       , hamama             , To call out loudly.                                                                    , 3 , 1, 1
Null, come           , haramai (haere mai), To move towards someone.                                                               , 2 , 1, 1
Null, to carry       , hari               , To move an object from one place to another.                                           , 5 , 1, 1
Null, to raise       , hiki               , To lift something up.                                                                  , 8 , 1, 1
Null, to walk        , hikoi              , To move from one place to another by moving one's feet slowly.                         , 4 , 1, 1
Null, to row         , hoe                , To move through water in a boat with oars                                              , 3 , 1, 1
Null, to shop        , hokohoko           , To buy things.                                                                         , 9 , 1, 1
Null, to catch       , hopu               , To take hold of something that is moving.                                              , 9 , 1, 1
Null, to clean       , horoi              , To remove dirt.                                                                        , 6 , 1, 1
Null, to climb       , kake               , To go move upwards.                                                                    , 10, 1, 1
Null, dance          , kanikani           , To move to music.                                                                      , 3 , 1, 1
Null, to laugh       , kata               , To make sounds expressing amusement / joy.                                             , 4 , 1, 1
Null, to swim        , kauhoe             , To move through water using ones arms and legs.                                        , 1 , 1, 1
Null, to bathe       , kaukau             , To get clean using water.                                                              , 7 , 1, 1
Null, to see         , kite               , To take in information using ones eyes.                                                , 7 , 1, 1
Null, to speak       , korero             , To say something                                                                       , 1 , 1, 1
Null, to discuss     , korerorero         , To take turns talking about a topic.                                                   , 9 , 1, 1
Null, to pull        , kukume             , To drag something towards oneself                                                      , 5 , 1, 1
Null, to fall        , makere             , To land on the ground after being higher up (often painful).                           , 5 , 1, 1
Null, to watch       , mataki             , To observe something.                                                                  , 3 , 1, 1
Null, to greet       , mihi               , To say hello / good bye.                                                               , 7 , 1, 1
Null, to marry       , moe                , To commit to be with someone else with the purpose of starting a family.               , 3 , 1, 1
Null, to sleep       , moe                , To rest (dreaming may be involved)                                                     , 6 , 1, 1
Null, to dream       , moemoea            , To see images / experience something that is not really happening (when sleeping).     , 3 , 1, 1
Null, to sit         , noho               , Opposite of standing.  Often done on a chair but some16s done on the floor.            , 10, 1, 1
Null, to live        , noho               , Opposite of being dead.                                                                , 10, 1, 1
Null, to stay        , noho               , To remain in one place.                                                                , 3 , 1, 1
Null, to move        , nuku               , To go from one place to another.                                                       , 9 , 1, 1
Null, to wake up     , oho                , To stop sleeping.                                                                      , 4 , 1, 1
Null, to read        , panui              , To interpret the meaning of written words.                                             , 5 , 1, 1
Null, to kill        , patu               , To take a life.                                                                        , 10, 1, 1
Null, to sail        , rere               , To travel on water (boats are involved).                                               , 1 , 1, 1
Null, to fly         , rere               , To travel through the air (requires wings / aircraft).                                 , 8 , 1, 1
Null, to escape      , rere               , To get away from a person / place.                                                     , 10, 1, 1
Null, to flow        , rere               , To move smoothly (often involves water / liquid).                                      , 5 , 1, 1
Null, to dive        , ruku               , To enter water from a height.                                                          , 9 , 1, 1
Null, to play        , takaro             , To be involved in a game.                                                              , 6 , 1, 1
Null, to allow       , tuku               , To let something happen.                                                               , 1 , 1, 1
Null, to send        , tuku               , To make something go somewhere.                                                        , 4 , 1, 1
Null, to sing        , waiata             , To make musical sounds                                                                 , 10, 1, 1
Null, chicken        , heihei             , Bird that tastes good when roasted.                                                    , 10, 1, 2
Null, sheep          , hipi               , Animal that provides wool.                                                             , 2 , 1, 2
Null, horse          , hoiho              , Animal that can be ridden / raced.                                                     , 4 , 1, 2
Null, feather        , huruhuru           , Covering of birds.                                                                     , 2 , 1, 2
Null, fish           , ika                , "Animal that lives in water has fins and scales."                                      , 3 , 1, 2
Null, animal         , kararehe           , Living thing that is not a plant.                                                      , 8 , 1, 2
Null, cow            , kau                , Animal that gives milk and goes 'moo'.                                                 , 3 , 1, 2
Null, calf           , kawhe              , Baby cow.                                                                              , 5 , 1, 2
Null, rat            , kiore              , Pest that eats just about anything.                                                    , 7 , 1, 2
Null, kiwi           , kiwi               , Native bird with long beak (cannot fly).                                               , 9 , 1, 2
Null, white heron    , kotuku             , Native bird with white feathers and long graceful neck (not to be confused with swans)., 1 , 1, 2
Null, dog            , kuri               , Animal which can be trained to 'fetch'.                                                , 9 , 1, 2
Null, bird           , manu               , Animal with feathers and wings (can usually fly).                                      , 9 , 1, 2
Null, pet            , mokai              , Animal which is cared for by humans.                                                   , 8 , 1, 2
Null, lizard         , moko               , "Animal with four legs a long body and very small scales."                             , 2 , 1, 2
Null, reptile        , ngarara            , "2 which lay leathery eggs eg: turtles crocodiles and lizards."                        , 4 , 1, 2
Null, snail          , ngata              , Slimy garden pest which has a shell.                                                   , 1 , 1, 2
Null, cat            , ngeru              , "Furry pet which eats mice birds and cat 7."                                           , 4 , 1, 2
Null, worm           , noke               , Long animal without legs.  Often soft and squishy.                                     , 5 , 1, 2
Null, bear           , pea                , Large animal with claws and teeth.   Not native to New Zealand.                        , 6 , 1, 2
Null, bee            , pi                 , Yellow and black insect which makes honey                                              , 9 , 1, 2
Null, pig            , poaka              , Animal that we use to get bacon / pork.                                                , 10, 1, 2
Null, frog           , poraka             , "Animal found in rivers streams can live both in water and on land."                   , 10, 1, 2
Null, spider         , pungawerewere      , Animal that makes webs to catch 7.                                                     , 5 , 1, 2
Null, butterfly      , purerehua          , Animal that has beautiful wings and comes out of a crysalis.                           , 1 , 1, 2
Null, fly            , rango              , Annoying pest that often feeds on rotten 7 (and other gross substances).               , 6 , 1, 2
Null, whale          , tohora             , Large mammal that lives in the ocean (not to be confused with fish).                   , 9 , 1, 2
Null, albatross      , toroa              , Large bird that lives near the sea.                                                    , 3 , 1, 2
Null, spider web     , tukutuku           , Trap made by spiders                                                                   , 5 , 1, 2
Null, eel            , tuna               , Long slimy fish (can be good to eat).                                                  , 9 , 1, 2
Null, shoe           , hu                 , Covering that is worn on one's feet.                                                   , 7 , 1, 3
Null, cloak          , kahu               , Pending                                                                                , 5 , 1, 3
Null, garment        , kakahu             , Pending                                                                                , 4 , 1, 3
Null, thread         , miro               , Pending                                                                                , 2 , 1, 3
Null, flax skirt     , piupiu             , Pending                                                                                , 3 , 1, 3
Null, jersey         , poraka             , Pending                                                                                , 7 , 1, 3
Null, hat            , potae              , Pending                                                                                , 7 , 1, 3
